Names,ProblemIds,ProblemUrls,Source
Chef and Easy Queries,CHEFEZQ,https://www.codechef.com/problems/CHEFEZQ,CodeChef
Sebi and the highway,SEBIHWY,https://www.codechef.com/problems/SEBIHWY,CodeChef
Knight Chess,KCHESS,https://www.codechef.com/problems/KCHESS,CodeChef
Chef and Interesting Subsequences ,CHEFINSQ,https://www.codechef.com/problems/CHEFINSQ,CodeChef
When to take medicine,MEDIC,https://www.codechef.com/problems/MEDIC,CodeChef
Extreme Encoding,KOL16B,https://www.codechef.com/problems/KOL16B,CodeChef
Chef and Polygon Cakes,PCJ18C,https://www.codechef.com/problems/PCJ18C,CodeChef
UEFA Champions League,UCL,https://www.codechef.com/problems/UCL,CodeChef
The Promised Land,ISHVALA,https://www.codechef.com/problems/ISHVALA,CodeChef
Chef and Way,CHRL4,https://www.codechef.com/problems/CHRL4,CodeChef
Spam Classification Using Neural Net,SPAMCLAS,https://www.codechef.com/problems/SPAMCLAS,CodeChef
The One Who Knocks!,EOOPR,https://www.codechef.com/problems/EOOPR,CodeChef
BST Operations,BSTOPS,https://www.codechef.com/problems/BSTOPS,CodeChef
Daanish and Problems,DIV03,https://www.codechef.com/problems/DIV03,CodeChef
Beautiful Pairs,BUTYPAIR,https://www.codechef.com/problems/BUTYPAIR,CodeChef
Even Pair Sum,EVENPSUM,https://www.codechef.com/problems/EVENPSUM,CodeChef
The Wave,WAV2,https://www.codechef.com/problems/WAV2,CodeChef
No Time to Wait,NOTIME,https://www.codechef.com/problems/NOTIME,CodeChef
Matrix XOR,MATXOR,https://www.codechef.com/problems/MATXOR,CodeChef
Chef and Coupon,COUPON2,https://www.codechef.com/problems/COUPON2,CodeChef
Shoe Fit,SHOEFIT,https://www.codechef.com/problems/SHOEFIT,CodeChef
Chef and Spells,CHFSPL,https://www.codechef.com/problems/CHFSPL,CodeChef
Vaccine Drive,VACCINE3,https://www.codechef.com/problems/VACCINE3,CodeChef
Bodybuilder,BUILDB,https://www.codechef.com/problems/BUILDB,CodeChef
Chess Format,CHSFORMT,https://www.codechef.com/problems/CHSFORMT,CodeChef
Vaccine Distribution,VACCINE2,https://www.codechef.com/problems/VACCINE2,CodeChef
Turn It,NFS,https://www.codechef.com/problems/NFS,CodeChef
Vaccine Production,VACCINE1,https://www.codechef.com/problems/VACCINE1,CodeChef
Which Division,WHICHDIV,https://www.codechef.com/problems/WHICHDIV,CodeChef
PCM Dilemma,CCBTS01,https://www.codechef.com/problems/CCBTS01,CodeChef
Birthday Gifts,TWINGFT,https://www.codechef.com/problems/TWINGFT,CodeChef
Cricket Ranking,CRICRANK,https://www.codechef.com/problems/CRICRANK,CodeChef
Nobel Prize,NOBEL,https://www.codechef.com/problems/NOBEL,CodeChef
Ashishgup and Interviews,INTRVS,https://www.codechef.com/problems/INTRVS,CodeChef
The Begining Era Of Cyberverse,CYBV,https://www.codechef.com/problems/CYBV,CodeChef
Food Chain,FODCHAIN,https://www.codechef.com/problems/FODCHAIN,CodeChef
Chef and Groups,GROUPS,https://www.codechef.com/problems/GROUPS,CodeChef
Three Dices,THREDICE,https://www.codechef.com/problems/THREDICE,CodeChef
Maximise Function,MAXFUN,https://www.codechef.com/problems/MAXFUN,CodeChef
Hardest Problem Bet,HARDBET,https://www.codechef.com/problems/HARDBET,CodeChef
B - Valentine Couples,VCOUPLE,https://www.codechef.com/problems/VCOUPLE,CodeChef
Red Alert,REDALERT,https://www.codechef.com/problems/REDALERT,CodeChef
HTML Tags,HTMLTAGS,https://www.codechef.com/problems/HTMLTAGS,CodeChef
Total Score,TOTSCR,https://www.codechef.com/problems/TOTSCR,CodeChef
Maximum Production,EITA,https://www.codechef.com/problems/EITA,CodeChef
Relativity,RELATIVE,https://www.codechef.com/problems/RELATIVE,CodeChef
College Life 2,COLGLF2,https://www.codechef.com/problems/COLGLF2,CodeChef
Encoded String,DECODEIT,https://www.codechef.com/problems/DECODEIT,CodeChef
Make it Divisible,MAKEDIV3,https://www.codechef.com/problems/MAKEDIV3,CodeChef
Find the Direction,FACEDIR,https://www.codechef.com/problems/FACEDIR,CodeChef
Chef in Vaccination Queue,VACCINQ,https://www.codechef.com/problems/VACCINQ,CodeChef
World Record,BOLT,https://www.codechef.com/problems/BOLT,CodeChef
Cars and Bikes,TYRES,https://www.codechef.com/problems/TYRES,CodeChef
Penalty Shots,PENALTY,https://www.codechef.com/problems/PENALTY,CodeChef
College Life 5,COLGLF5,https://www.codechef.com/problems/COLGLF5,CodeChef
Server Trouble,SVRT,https://www.codechef.com/problems/SVRT,CodeChef
Lucky Boundaries,ICM0013,https://www.codechef.com/problems/ICM0013,CodeChef
Strong Language,SSCRIPT,https://www.codechef.com/problems/SSCRIPT,CodeChef
Yet another SOD problem,SOD3,https://www.codechef.com/problems/SOD3,CodeChef
Olympics Ranking,OLYRANK,https://www.codechef.com/problems/OLYRANK,CodeChef
Programming Languages,PROGLANG,https://www.codechef.com/problems/PROGLANG,CodeChef
Maximum Length Even Subarray,MXEVNSUB,https://www.codechef.com/problems/MXEVNSUB,CodeChef
The Preparations,SUPCHEF,https://www.codechef.com/problems/SUPCHEF,CodeChef
Interesting XOR!,IRSTXOR,https://www.codechef.com/problems/IRSTXOR,CodeChef
2 - Sums divisible by 3,DIV3,https://www.codechef.com/problems/DIV3,CodeChef
The Two Dishes,MAX_DIFF,https://www.codechef.com/problems/MAX_DIFF,CodeChef
Prefix Sums,UNQEQ,https://www.codechef.com/problems/UNQEQ,CodeChef
Good Weather,GOODWEAT,https://www.codechef.com/problems/GOODWEAT,CodeChef
Team Formation,TEAMFOR,https://www.codechef.com/problems/TEAMFOR,CodeChef
Fake GCD,FAKEGCD,https://www.codechef.com/problems/FAKEGCD,CodeChef
College Life 4,COLGLF4,https://www.codechef.com/problems/COLGLF4,CodeChef
Diagonal movement,DIAGMOVE,https://www.codechef.com/problems/DIAGMOVE,CodeChef
Travel Pass,TRAVELPS,https://www.codechef.com/problems/TRAVELPS,CodeChef
RCB and Playoffs,RCBPLAY,https://www.codechef.com/problems/RCBPLAY,CodeChef
Memcached Service,CCBTS02,https://www.codechef.com/problems/CCBTS02,CodeChef
Airline Restrictions,AIRLINE,https://www.codechef.com/problems/AIRLINE,CodeChef
Javelin Qualification,JAVELIN,https://www.codechef.com/problems/JAVELIN,CodeChef
Chef and Laddus For Children,CCBTS03,https://www.codechef.com/problems/CCBTS03,CodeChef
Point Of Impact,BILLRD,https://www.codechef.com/problems/BILLRD,CodeChef
Smart Phone,SMAPHONE,https://www.codechef.com/problems/SMAPHONE,CodeChef
The Old Saint And Three Questions,THREEQ,https://www.codechef.com/problems/THREEQ,CodeChef
Problem Difficulties,PROBDIFF,https://www.codechef.com/problems/PROBDIFF,CodeChef
Vaccine Dates ,VDATES,https://www.codechef.com/problems/VDATES,CodeChef
Two Dishes,TWODISH,https://www.codechef.com/problems/TWODISH,CodeChef
Chef and Meetings,MEET,https://www.codechef.com/problems/MEET,CodeChef
Say No To Drugs,NODRUGS,https://www.codechef.com/problems/NODRUGS,CodeChef
1 - Cakezoned,BENDSP2,https://www.codechef.com/problems/BENDSP2,CodeChef
College Admissions,ADMIT,https://www.codechef.com/problems/ADMIT,CodeChef
Maximum Topological Sort,MAXTOPO,https://www.codechef.com/problems/MAXTOPO,CodeChef
